Id,BldgType,OverallQual,GrLivArea,GarageArea,SalePrice
215,1Fam,6,1392,299,161750
216,1Fam,5,1236,447,134450
217,1Fam,7,1436,484,210000
218,1Fam,4,1328,210,107000
219,1Fam,7,1954,431,311500
220,TwnhsE,7,1248,438,167240
221,1Fam,7,1498,675,204900
222,1Fam,6,2267,390,200000
223,1Fam,6,1552,434,179900
224,1Fam,4,864,576,97000
225,1Fam,10,2392,968,386250
226,TwnhsI,5,1302,280,112000
227,1Fam,7,2520,721,290000
228,TwnhsI,6,987,280,106000
229,1Fam,5,912,336,125000
230,TwnhsE,7,1555,430,192500
231,1Fam,6,1194,312,148000
232,1Fam,8,2794,810,403000
233,TwnhsI,6,987,288,94500
234,1Fam,5,894,308,128200
235,1Fam,6,1960,440,216500
236,TwnhsE,6,987,264,89500
237,1Fam,7,1414,494,185500
238,1Fam,7,1744,457,194500
239,1Fam,8,1694,818,318000
240,1Fam,6,1487,220,113000
241,1Fam,8,1566,750,262500
242,1Fam,5,866,0,110500
243,1Fam,5,1440,352,79000
244,TwnhsE,6,1217,288,120000
245,1Fam,7,2110,463,205000
246,1Fam,7,1872,604,241500
247,2FmCon,6,1928,440,137000
248,1Fam,6,1375,451,140000
249,1Fam,7,1668,500,180000
250,1Fam,6,2144,389,277000
251,1Fam,3,1306,0,76500
252,TwnhsE,8,1625,538,235000
253,1Fam,6,1640,520,173000
254,1Fam,6,1302,309,158000
255,1Fam,5,1314,294,145000
256,1Fam,7,2291,429,230000
257,1Fam,6,1728,673,207500
258,1Fam,7,1604,660,220000
259,1Fam,7,1792,564,231500
260,1Fam,5,882,308,97000
261,1Fam,6,1382,884,176000
262,1Fam,8,2574,868,276000
263,1Fam,6,1212,492,151000
264,1Fam,5,1316,484,130000
265,1Fam,5,764,504,73000
266,1Fam,6,1422,576,175500
267,1Fam,6,1511,413,185000
268,1Fam,5,2192,240,179500
269,1Fam,5,778,924,120500
270,1Fam,6,1113,504,148000
271,1Fam,8,1939,1053,266000
272,1Fam,7,1363,439,241500
273,1Fam,8,2270,671,290000
274,1Fam,6,1632,338,139000
275,1Fam,5,816,264,124500
276,1Fam,7,1548,672,205000
277,1Fam,7,1560,573,201000
278,1Fam,4,864,400,141000
279,1Fam,9,2121,732,415298
280,1Fam,7,2022,505,192000
281,1Fam,7,1982,575,228500
282,1Fam,6,1262,572,185000
283,TwnhsI,7,1314,626,207500
284,1Fam,8,1468,898,244600
285,TwnhsE,6,1575,529,179200
286,TwnhsE,7,1250,528,164700
287,1Fam,6,1734,440,159000
288,1Fam,4,858,0,88000
289,1Fam,5,900,280,122000
290,1Fam,6,1396,384,153575
291,1Fam,8,1919,685,233230
292,2FmCon,5,1716,0,135900
293,1Fam,5,1716,281,131000
294,1Fam,7,2263,539,235000
295,1Fam,6,1644,418,167000
296,1Fam,6,1003,588,142500
297,1Fam,5,1558,282,152000
298,1Fam,7,1950,576,239000
299,1Fam,6,1743,539,175000
300,1Fam,6,1152,300,158500
301,2FmCon,5,1336,375,157000
302,1Fam,8,2452,683,267000
303,1Fam,7,1541,843,205000
304,1Fam,5,894,552,149900
305,1Fam,7,3493,870,295000
306,1Fam,8,2000,888,305900
307,1Fam,7,2243,746,225000
308,1Fam,6,1406,0,89500
309,1Fam,4,861,539,82500
310,1Fam,9,1944,708,360000
311,1Fam,6,1501,420,165600
312,1Fam,6,972,240,132000
313,2FmCon,5,1118,410,119900
314,1Fam,7,2036,513,375000
315,1Fam,7,1641,546,178000
316,1Fam,7,1432,432,188500
317,1Fam,7,2353,484,260000
318,1Fam,8,1959,1025,270000
319,1Fam,7,2646,656,260000
320,1Fam,7,1472,588,187500
321,1Fam,9,2596,840,342643
322,1Fam,8,2468,872,354000
323,1Fam,7,2730,576,301000
324,1Fam,3,1163,220,126175
325,1Fam,7,2978,564,242000
326,1Fam,5,803,360,87000
327,TwnhsE,8,1719,473,324000
328,1Fam,6,1383,292,145250
329,1Fam,6,2134,441,214500
330,1Fam,5,1192,189,78000
331,Duplx,5,1728,352,119000
332,1Fam,5,1056,308,139000
333,1Fam,8,1629,880,284000
334,TwnhsE,7,1358,484,207000
335,1Fam,6,1638,472,192000
336,2FmCon,5,1786,529,228950
337,1Fam,9,1922,676,377426
338,1Fam,7,1536,532,214000
339,1Fam,7,1621,440,202500
340,1Fam,6,1215,297,155000
341,1Fam,8,1908,431,202900
342,1Fam,4,841,294,82000
343,Duplx,3,1040,400,87500
344,TwnhsE,9,1684,564,266000
345,TwnhsE,5,1112,336,85000
346,1Fam,6,1577,312,140200
347,1Fam,6,958,301,151500
348,1Fam,6,1478,498,157500
349,TwnhsI,7,1626,474,154000
350,1Fam,9,2728,706,437154
351,TwnhsE,9,1869,617,318061
352,1Fam,7,1453,445,190000
353,1Fam,5,1111,200,95000
354,1Fam,6,720,484,105900
355,1Fam,6,1595,240,140000
356,1Fam,6,1200,521,177500
357,1Fam,6,1167,400,173000
358,TwnhsE,5,1142,528,134000
359,1Fam,5,1352,288,130000
360,1Fam,8,1924,592,280000
361,1Fam,6,912,470,156000
362,1Fam,5,1505,240,145000
363,1Fam,7,1922,672,198500
364,TwnhsI,6,987,264,118000
365,1Fam,6,1574,566,190000
366,1Fam,5,1344,468,147000
367,1Fam,6,1394,514,159000
368,1Fam,6,1431,296,165000
369,1Fam,5,1268,244,132000
370,1Fam,5,1287,576,162000
371,1Fam,6,1664,460,172400
372,1Fam,4,1588,680,134432
373,TwnhsE,6,752,264,125000
374,1Fam,5,1319,270,123000
375,1Fam,7,1928,434,219500
376,1Fam,1,904,0,61000
377,1Fam,5,914,576,148000
378,1Fam,8,2466,610,340000
379,1Fam,9,1856,834,394432
380,1Fam,6,1800,463,179000
381,1Fam,5,1691,308,127000
382,1Fam,7,1301,572,187750
383,1Fam,7,1797,639,213500
384,1Fam,6,784,360,76000
385,1Fam,6,1953,501,240000
386,TwnhsE,8,1269,430,192000
387,1Fam,5,1184,0,81000
388,1Fam,6,1125,352,125000
389,1Fam,7,1479,577,191000
390,1Fam,10,2332,846,426000
391,1Fam,5,1367,384,119000
392,1Fam,6,1961,560,215000
393,1Fam,5,882,294,106500
394,1Fam,4,788,0,100000
395,1Fam,5,1034,240,109000
396,1Fam,5,1144,596,129000
397,1Fam,5,894,600,123000
398,1Fam,5,1812,264,169500
399,1Fam,5,1077,338,67000
400,1Fam,7,1550,438,241000
401,TwnhsE,8,1288,500,245500
402,1Fam,7,1310,400,164990
403,1Fam,5,672,240,108000
404,1Fam,8,2263,420,258000
405,1Fam,6,1572,373,168000
406,1Fam,4,1620,490,150000
407,1Fam,6,1639,240,115000
408,1Fam,6,1680,308,177000
409,1Fam,7,2172,947,280000
410,1Fam,8,2078,836,339750
411,1Fam,5,1276,350,60000
412,2FmCon,5,1056,572,145000
413,1Fam,7,1478,484,222000
414,1Fam,5,1028,360,115000
415,1Fam,7,2097,678,228000
416,1Fam,7,1340,396,181134
417,1Fam,6,1400,440,149500
418,1Fam,6,2624,864,239000
419,1Fam,5,1134,240,126000
420,1Fam,5,1056,304,142000
421,Duplx,7,1344,784,206300
422,1Fam,6,1602,529,215000
423,1Fam,5,988,520,113000
424,1Fam,8,2630,696,315000
425,1Fam,6,1196,297,139000
426,1Fam,7,1389,240,135000
427,1Fam,7,1644,569,275000
428,1Fam,4,907,352,109008
429,1Fam,7,1208,628,195400
430,1Fam,6,1412,576,175000
431,TwnhsI,6,987,264,85400
432,1Fam,6,1198,0,79900
433,TwnhsE,5,1365,440,122500
434,1Fam,6,1604,470,181000
435,TwnhsI,4,630,0,81000
436,1Fam,7,1661,550,212000
437,1Fam,6,1118,440,116000
438,1Fam,6,904,180,119000
439,1Fam,5,694,352,90350
440,1Fam,6,1196,528,110000
441,1Fam,10,2402,672,555000
442,Duplx,4,1440,0,118000
443,1Fam,5,1573,360,162900
444,TwnhsE,7,1258,648,172500
445,1Fam,7,1908,493,210000
446,1Fam,6,1689,480,127500
447,1Fam,6,1888,578,190000
448,1Fam,7,1886,431,199900
449,1Fam,6,1376,198,119500
450,1Fam,3,1183,308,120000
451,1Fam,6,813,270,110000
452,1Fam,7,1533,576,280000
453,1Fam,6,1756,422,204000
454,1Fam,8,1590,676,210000
455,Duplx,5,1728,560,188000
456,1Fam,7,1242,528,175500
457,1Fam,5,1344,513,98000
458,1Fam,4,1663,529,256000
459,1Fam,8,1666,228,161000
460,1Fam,5,1203,352,110000
461,1Fam,8,1935,552,263435
462,1Fam,7,1135,576,155000
463,1Fam,5,864,360,62383
464,1Fam,6,1660,240,188700
465,1Fam,5,1040,0,124000
466,TwnhsE,7,1414,398,178740
467,1Fam,7,1277,526,167000
468,1Fam,5,1644,312,146500
469,1Fam,8,1634,866,250000
470,1Fam,6,1710,506,187000
471,TwnhsE,8,1502,528,212000
472,1Fam,7,1969,534,190000
473,TwnhsE,6,1072,525,148000
474,1Fam,8,1976,908,440000
475,TwnhsE,8,1652,499,251000
476,1Fam,5,970,624,132500
477,1Fam,6,1493,508,208900
478,1Fam,9,2643,694,380000
479,1Fam,8,1718,826,297000
480,1Fam,4,1131,672,89471
481,1Fam,9,1850,772,326000
482,1Fam,9,1792,874,374000
483,1Fam,7,1826,164,155000
484,TwnhsI,6,1216,402,164000
485,1Fam,5,999,264,132500
486,1Fam,5,1113,264,147000
487,1Fam,5,1073,515,156000
488,1Fam,5,1484,487,175000
489,2FmCon,5,2414,520,160000
490,TwnhsI,4,630,286,86000
491,TwnhsE,5,1304,336,115000
492,1Fam,6,1578,240,133000
493,1Fam,6,1456,429,172785
494,1Fam,5,1269,308,155000
495,1Fam,5,886,273,91300
496,1Fam,4,720,0,34900
497,1Fam,8,3228,546,430000
498,1Fam,7,1820,240,184000
499,1Fam,5,899,288,130000
500,1Fam,5,912,297,120000
501,TwnhsI,6,1218,264,113000
502,1Fam,7,1768,603,226700
503,1Fam,5,1214,461,140000
504,1Fam,7,1801,484,289000
505,TwnhsE,6,1322,440,147000
506,Duplx,5,1960,400,124500
507,1Fam,8,1911,471,215000
508,1Fam,6,1218,676,208300
509,1Fam,7,1378,360,161000
510,1Fam,5,1041,270,124500
511,1Fam,5,1363,288,164900
512,TwnhsE,7,1368,474,202665
513,1Fam,5,864,624,129900
514,1Fam,6,1080,484,134000
515,1Fam,5,789,200,96500
516,1Fam,10,2020,900,402861
517,1Fam,6,2119,583,158000
518,1Fam,7,2344,889,265000
519,1Fam,6,1796,546,211000
520,1Fam,7,2080,282,234000
521,2FmCon,4,1294,0,106250
522,1Fam,6,1244,336,150000
523,1Fam,6,1664,420,159000
524,1Fam,10,4676,884,184750
525,1Fam,7,2398,834,315750
526,1Fam,7,1266,453,176000
527,1Fam,5,928,252,132000
528,1Fam,9,2713,858,446261
529,1Fam,4,605,0,86000
530,1Fam,6,2515,484,200624
531,1Fam,6,1509,600,175000
532,1Fam,6,1362,502,128000
533,1Fam,5,827,392,107500
534,1Fam,1,334,0,39300
535,1Fam,8,1414,403,178000
536,2FmCon,5,1347,0,107500
537,1Fam,7,1724,527,188000
538,1Fam,4,864,576,111250
539,1Fam,5,1159,336,158000
540,1Fam,8,1601,670,272000
541,1Fam,9,1838,765,315000
542,1Fam,8,2285,648,248000
543,1Fam,7,1680,583,213250
544,TwnhsE,7,767,367,133000
545,1Fam,7,1496,426,179665
546,1Fam,7,2183,786,229000
547,1Fam,6,1635,440,210000
548,1Fam,5,768,624,129500
549,1Fam,5,825,720,125000
550,1Fam,7,2094,615,263000
551,TwnhsE,6,1069,440,140000
552,1Fam,5,928,288,112500
553,1Fam,8,1717,908,255500
554,1Fam,4,1126,520,108000
555,1Fam,7,2046,871,284000
556,1Fam,5,1048,280,113000
557,1Fam,5,1092,299,141000
558,1Fam,4,1336,570,108000
559,1Fam,7,1446,406,175000
560,TwnhsE,7,1557,420,234000
561,1Fam,5,1392,528,121500
562,1Fam,5,1389,418,170000
563,1Fam,5,996,0,108000
564,1Fam,6,1674,396,185000
565,1Fam,7,2295,590,268000
566,1Fam,6,1647,216,128000
567,1Fam,9,2504,656,325000
568,1Fam,7,1535,532,214000
569,1Fam,8,2132,612,316600
570,Duplx,5,943,600,135960
571,Duplx,5,1728,576,142600
572,1Fam,6,864,288,120000
573,1Fam,7,1692,650,224500
574,1Fam,7,1430,400,170000
575,1Fam,5,1109,288,139000
576,1Fam,5,1216,336,118500
577,1Fam,7,1477,216,145000
578,1Fam,5,1320,564,164500
579,TwnhsE,7,1392,540,146000
580,1Fam,5,1795,352,131500
581,1Fam,6,1429,572,181900
582,1Fam,8,2042,1390,253293
583,Duplx,6,816,0,118500
584,1Fam,10,2775,880,325000
585,1Fam,4,1573,240,133000
586,1Fam,8,2028,880,369900
587,1Fam,6,838,275,130000
588,1Fam,5,860,528,137000
589,1Fam,5,1473,452,143000
590,1Fam,5,935,308,79500
591,1Fam,7,1582,520,185900
592,1Fam,10,2296,842,451950
593,1Fam,5,816,816,138000
594,TwnhsE,6,848,420,140000
595,1Fam,5,924,280,110000
596,1Fam,8,1826,758,319000
597,1Fam,6,1368,216,114504
598,TwnhsE,7,1402,648,194201
599,1Fam,5,1647,621,217500
600,TwnhsI,6,1556,452,151000
601,1Fam,8,1904,736,275000
602,1Fam,6,1375,544,141000
603,1Fam,8,1915,506,220000
604,TwnhsE,7,1200,480,151000
605,1Fam,7,1494,530,221000
606,1Fam,7,1986,486,205000
607,1Fam,5,1040,576,152000
608,1Fam,5,2008,230,225000
609,1Fam,8,3194,380,359100
610,1Fam,4,1029,261,118500
611,1Fam,9,2153,736,313000
612,1Fam,6,1032,564,148000
613,1Fam,8,1872,531,261500
614,1Fam,5,1120,0,147000
615,TwnhsE,4,630,0,75500
616,1Fam,6,1054,480,137500
617,1Fam,6,1509,393,183200
618,1Fam,6,832,528,105500
619,1Fam,9,1828,774,314813
620,1Fam,8,2262,749,305000
621,1Fam,3,864,0,67000
622,1Fam,6,2614,624,240000
623,1Fam,5,980,484,135000
624,TwnhsE,6,1512,440,168500
625,1Fam,6,1790,484,165150
626,1Fam,6,1116,440,160000
627,1Fam,5,1422,286,139900
628,1Fam,6,1520,364,153000
629,1Fam,5,2080,504,135000
630,1Fam,6,1350,520,168500
631,1Fam,5,1750,240,124000
632,TwnhsI,8,1554,627,209500
633,1Fam,7,1411,544,82500
634,1Fam,5,1056,260,139400
635,Duplx,6,1056,576,144000
636,2FmCon,6,3395,0,200000
637,1Fam,2,800,0,60000
638,2FmCon,5,1387,256,93000
639,1Fam,5,796,0,85000
640,TwnhsE,8,1567,648,264561
641,TwnhsE,8,1518,588,274000
642,1Fam,7,1929,650,226000
643,1Fam,8,2704,538,345000
644,1Fam,5,1620,462,152000
645,1Fam,9,1766,478,370878
646,1Fam,6,981,576,143250
647,1Fam,5,1048,420,98300
648,1Fam,6,1094,495,155000
649,1Fam,6,1839,442,155000
650,TwnhsI,4,630,0,84500
651,1Fam,7,1665,562,205950
652,1Fam,4,1510,296,108000
653,1Fam,7,1716,512,191000
654,1Fam,6,1469,216,135000
655,1Fam,8,2113,839,350000
656,TwnhsI,6,1092,264,88000
657,1Fam,5,1053,312,145500
658,1Fam,7,1502,270,149000
659,1Fam,6,1458,330,97500
660,1Fam,5,1486,480,167000
661,1Fam,7,1935,550,197900
662,1Fam,8,2448,711,402000
663,1Fam,6,1392,576,110000
664,1Fam,4,1181,588,137500
665,1Fam,8,2097,1134,423000
666,1Fam,8,1936,504,230500
667,1Fam,6,2380,596,129000
668,1Fam,6,1679,575,193500
669,1Fam,5,1437,576,168000
670,1Fam,4,1180,252,137500
671,1Fam,6,1476,540,173500
672,1Fam,6,1369,300,103600
673,1Fam,6,1208,546,165000
674,1Fam,6,1839,416,257500
675,1Fam,6,1136,384,140000
676,TwnhsI,6,1441,440,148500
677,1Fam,4,1774,779,87000
678,1Fam,5,792,240,109500
679,1Fam,8,2046,834,372500
680,1Fam,5,988,572,128500
681,TwnhsE,6,923,264,143000
682,1Fam,5,1520,281,159434
683,1Fam,6,1291,431,173000
684,1Fam,9,1668,702,285000
685,1Fam,7,1839,486,221000
686,TwnhsE,7,2090,577,207500
687,1Fam,7,1761,578,227875
688,TwnhsE,7,1102,480,148800
689,1Fam,8,1419,567,392000
690,TwnhsE,6,1362,460,194700
691,TwnhsE,6,848,420,141000
692,1Fam,10,4316,832,755000
693,1Fam,7,2519,628,335000
694,1Fam,5,1073,326,108480
695,1Fam,5,1539,576,141500
696,1Fam,6,1137,551,176000
697,1Fam,5,616,205,89000
698,1Fam,5,1148,308,123500
699,1Fam,5,894,336,138500
700,TwnhsE,7,1391,530,196000
701,1Fam,8,1800,765,312500
702,1Fam,7,1164,528,140000
703,1Fam,8,2576,666,361919
704,2FmCon,5,1812,672,140000
705,1Fam,7,1484,606,213000
706,2FmCon,4,1092,0,55000
707,1Fam,7,1824,739,302000
708,TwnhsE,8,1324,550,254000
709,1Fam,7,1456,400,179540
710,1Fam,5,904,408,109900
711,1Fam,3,729,0,52000
712,1Fam,4,1178,384,102776
713,TwnhsE,8,1228,472,189000
714,2FmCon,4,960,576,129000
715,1Fam,6,1479,475,130500
716,1Fam,6,1350,478,165000
717,1Fam,7,2554,704,159500
718,1Fam,5,1178,439,157000
719,1Fam,7,2418,983,341000
720,1Fam,5,971,300,128500
721,1Fam,8,1742,564,275000
722,TwnhsE,6,848,420,143000
723,1Fam,4,864,463,124500
724,1Fam,4,1470,548,135000
725,1Fam,9,1698,768,320000
726,1Fam,4,864,660,120500
727,1Fam,6,1680,540,222000
728,1Fam,7,1232,632,194500
729,Duplx,5,1776,888,110000
730,1Fam,4,1208,539,103000
731,TwnhsE,8,1616,608,236500
732,1Fam,7,1146,438,187500
733,1Fam,7,2031,541,222500
734,1Fam,5,1144,264,131400
735,1Fam,5,948,300,108000
736,1Fam,7,1768,320,163000
737,Duplx,3,1040,400,93500
738,1Fam,8,1801,800,239900
739,Duplx,5,1200,0,179000
740,1Fam,7,1728,572,190000
741,1Fam,5,1432,360,132000
742,1Fam,6,912,288,142000
743,1Fam,7,1349,539,179000
744,1Fam,5,1464,480,175000
745,TwnhsE,8,1337,462,180000
746,1Fam,8,2715,831,299800
747,1Fam,7,2256,554,236000
748,1Fam,7,2640,864,265979
749,1Fam,7,1720,527,260400
750,1Fam,4,1529,240,98000
751,1Fam,4,1140,0,96500
752,1Fam,7,1320,400,162000
753,1Fam,6,1494,576,217000
754,1Fam,8,2098,878,275500
755,1Fam,6,1026,440,156000
756,TwnhsE,6,1471,440,172500
757,1Fam,8,1768,578,212000
758,1Fam,6,1386,440,158900
759,TwnhsI,7,1501,440,179400
760,1Fam,8,2531,752,290000
761,1Fam,6,864,300,127500
762,1Fam,5,1301,440,100000
763,1Fam,7,1547,614,215200
764,1Fam,8,2365,856,337000
765,TwnhsE,8,1494,481,270000
766,1Fam,9,1506,592,264132
767,1Fam,7,1714,496,196500
768,1Fam,6,1750,423,160000
769,1Fam,7,1836,484,216837
770,1Fam,8,3279,841,538000
771,1Fam,5,858,576,134900
772,1Fam,4,1220,396,102000
773,1Fam,6,1117,672,107000
774,1Fam,5,912,275,114500
775,1Fam,8,1973,895,395000
776,TwnhsE,6,1204,412,162000
777,1Fam,7,1614,865,221500
778,1Fam,5,894,440,142500
779,Duplx,5,2020,630,144000
780,Duplx,6,1004,504,135000
781,1Fam,7,1253,402,176000
782,1Fam,6,1603,484,175900
783,1Fam,7,1430,605,187100
784,1Fam,5,1110,602,165500
785,1Fam,6,1484,0,128000
786,1Fam,6,1342,457,161500
787,1Fam,5,1652,416,139000
788,1Fam,7,2084,618,233000
789,1Fam,4,901,281,107900
790,1Fam,6,2087,444,187500
791,TwnhsE,7,1145,397,160200
792,1Fam,6,1062,539,146800
793,1Fam,7,2013,455,269790
794,1Fam,8,1496,474,225000
795,1Fam,7,1895,409,194500
796,1Fam,6,1564,476,171000
797,1Fam,6,1285,528,143500
798,1Fam,5,773,240,110000
799,1Fam,9,3140,820,485000
800,1Fam,5,1768,240,175000
801,1Fam,6,1688,603,200000
802,1Fam,4,1196,440,109900
803,1Fam,7,1456,410,189000
804,1Fam,9,2822,1020,582933
805,1Fam,5,1128,286,118000
806,1Fam,7,1428,554,227680
807,1Fam,5,980,384,135500
808,1Fam,5,1576,528,223500
809,1Fam,5,1086,484,159950
810,1Fam,5,2138,360,106000
811,1Fam,6,1309,484,181000
812,TwnhsE,6,848,420,144500
813,1Fam,5,1044,504,55993
814,1Fam,6,1442,301,157900
815,1Fam,5,1250,280,116000
